capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
100000,0.0002,1747.3174,13,163.345749ms,133.793418ms,100000,100000,0,1000,0.0000
100000,0.0002,1757.2344,13,156.81117ms,148.183734ms,100000,100000,1,1000,0.0010
100000,0.0002,1767.1514,13,198.87629ms,131.405658ms,100000,100000,0,1000,0.0000
100000,0.0002,1777.0684,13,157.793067ms,203.380255ms,100000,100000,0,1000,0.0000
100000,0.0002,1786.9854,13,146.50468ms,140.051468ms,100000,100000,0,1000,0.0000
100000,0.0001,1796.9023,13,154.594777ms,139.275052ms,100000,100000,0,1000,0.0000
100000,0.0001,1806.8193,13,148.948121ms,144.208446ms,100000,100000,0,1000,0.0000
100000,0.0001,1816.7363,13,161.092015ms,134.597244ms,100000,100000,0,1000,0.0000
100000,0.0001,1826.6533,13,162.758745ms,134.220985ms,100000,100000,0,1000,0.0000
100000,0.0001,1836.5703,14,155.269939ms,152.074223ms,100000,100000,0,1000,0.0000
100000,0.0001,1846.4873,14,159.141117ms,133.254439ms,100000,100000,1,1000,0.0010
100000,0.0001,1856.4043,14,153.972935ms,144.483932ms,100000,100000,0,1000,0.0000
100000,0.0001,1866.3213,14,163.808511ms,148.505197ms,100000,100000,0,1000,0.0000
100000,0.0001,1876.2383,14,153.953114ms,140.362849ms,100000,100000,0,1000,0.0000
100000,0.0001,1886.1553,14,156.408042ms,160.9155ms,100000,100000,0,1000,0.0000
100000,0.0001,1896.0723,14,181.686449ms,175.574854ms,100000,100000,0,1000,0.0000
100000,0.0001,1905.9893,14,167.6738ms,155.455615ms,100000,100000,0,1000,0.0000
100000,0.0001,1915.9062,14,173.304855ms,159.9726ms,100000,100000,0,1000,0.0000
100000,0.0001,1925.8232,14,176.483058ms,163.292894ms,100000,100000,0,1000,0.0000
100000,0.0001,1935.7402,14,215.597739ms,133.731663ms,100000,100000,0,1000,0.0000
100000,0.0001,1945.6572,14,155.588967ms,167.366408ms,100000,100000,0,1000,0.0000
100000,0.0001,1955.5742,14,155.621516ms,140.072454ms,100000,100000,0,1000,0.0000
100000,0.0001,1965.4912,14,154.118226ms,144.039381ms,100000,100000,0,1000,0.0000
100000,0.0001,1975.4082,15,189.360761ms,145.213245ms,100000,100000,0,1000,0.0000
100000,0.0001,1985.3262,15,276.897708ms,146.470293ms,100000,100000,0,1000,0.0000
100000,0.0001,1995.2432,15,163.020116ms,137.735252ms,100000,100000,0,1000,0.0000
100000,0.0001,2005.1602,15,163.759507ms,143.94463ms,100000,100000,1,1000,0.0010
100000,0.0000,2015.0771,15,161.117371ms,138.540374ms,100000,100000,0,1000,0.0000
100000,0.0000,2024.9941,15,155.868757ms,134.997392ms,100000,100000,0,1000,0.0000
100000,0.0000,2034.9111,15,159.421391ms,137.672334ms,100000,100000,0,1000,0.0000
100000,0.0000,2044.8281,15,158.793617ms,148.091497ms,100000,100000,0,1000,0.0000
100000,0.0000,2054.7451,15,153.784349ms,143.185892ms,100000,100000,0,1000,0.0000
100000,0.0000,2064.6621,15,169.581357ms,132.57375ms,100000,100000,0,1000,0.0000
100000,0.0000,2074.5791,15,160.426212ms,132.308878ms,100000,100000,0,1000,0.0000
100000,0.0000,2084.4961,15,181.359087ms,140.772988ms,100000,100000,0,1000,0.0000
100000,0.0000,2094.4131,15,162.421794ms,134.108708ms,100000,100000,0,1000,0.0000
100000,0.0000,2104.3301,15,156.518979ms,134.97801ms,100000,100000,0,1000,0.0000
100000,0.0000,2114.2471,16,162.192072ms,143.987142ms,100000,100000,0,1000,0.0000
100000,0.0000,2124.1641,16,154.263859ms,149.349779ms,100000,100000,0,1000,0.0000
100000,0.0000,2134.0811,16,153.314253ms,134.764838ms,100000,100000,0,1000,0.0000
100000,0.0000,2143.9980,16,171.650626ms,137.966501ms,100000,100000,0,1000,0.0000
100000,0.0000,2153.9150,16,162.991069ms,140.233218ms,100000,100000,0,1000,0.0000
100000,0.0000,2163.8320,16,158.013089ms,136.200679ms,100000,100000,0,1000,0.0000
100000,0.0000,2173.7490,16,157.496878ms,132.031848ms,100000,100000,1,1000,0.0010
100000,0.0000,2183.6660,16,166.407573ms,145.057868ms,100000,100000,0,1000,0.0000
100000,0.0000,2193.5830,16,160.420729ms,139.293719ms,100000,100000,0,1000,0.0000
100000,0.0000,2203.5000,16,167.552195ms,135.73539ms,100000,100000,0,1000,0.0000
100000,0.0000,2213.4170,16,165.876333ms,152.011162ms,100000,100000,0,1000,0.0000
100000,0.0000,2223.3340,16,156.948782ms,143.540302ms,100000,100000,0,1000,0.0000
100000,0.0000,2233.2510,16,155.695418ms,144.458545ms,100000,100000,0,1000,0.0000
100000,0.0000,2243.1680,16,162.40162ms,149.748424ms,100000,100000,0,1000,0.0000
100000,0.0000,2253.0850,16,166.715009ms,149.335869ms,100000,100000,0,1000,0.0000
100000,0.0000,2263.0020,17,153.853755ms,147.801051ms,100000,100000,0,1000,0.0000
100000,0.0000,2272.9199,17,153.137302ms,147.280321ms,100000,100000,0,1000,0.0000
100000,0.0000,2282.8369,17,160.793933ms,142.201526ms,100000,100000,0,1000,0.0000
100000,0.0000,2292.7539,17,158.677651ms,143.991878ms,100000,100000,0,1000,0.0000
100000,0.0000,2302.6709,17,156.704484ms,141.495183ms,100000,100000,0,1000,0.0000
100000,0.0000,2312.5879,17,158.906092ms,140.425626ms,100000,100000,0,1000,0.0000
100000,0.0000,2322.5049,17,172.857612ms,138.083581ms,100000,100000,0,1000,0.0000
100000,0.0000,2332.4219,17,159.380648ms,145.103993ms,100000,100000,0,1000,0.0000
