capacity,errorRate,m,k,insertTime,checkTime,hits,insertCount,falsePositives,testSize,falsePositiveRate
1000000,0.000184748287,17473.1670,13,1.687248629s,1.76574317s,1000000,1000000,1,1000,0.0010
1000000,0.000175950749,17572.3369,13,2.075680923s,1.801022855s,1000000,1000000,0,1000,0.0000
1000000,0.000167572142,17671.5068,13,2.106212946s,1.66685613s,1000000,1000000,0,1000,0.0000
1000000,0.000159592516,17770.6777,13,1.798864423s,1.415591071s,1000000,1000000,0,1000,0.0000
1000000,0.000151992873,17869.8477,13,1.606718296s,1.390732322s,1000000,1000000,0,1000,0.0000
1000000,0.000144755117,17969.0176,13,1.696863117s,1.357276507s,1000000,1000000,0,1000,0.0000
1000000,0.000137862016,18068.1885,13,1.653144194s,1.41229492s,1000000,1000000,0,1000,0.0000
1000000,0.000131297158,18167.3584,13,1.601250449s,1.396750608s,1000000,1000000,0,1000,0.0000
1000000,0.000125044913,18266.5283,13,1.640031101s,1.45369587s,1000000,1000000,0,1000,0.0000
1000000,0.000119090393,18365.6992,14,1.853448422s,1.465331157s,1000000,1000000,0,1000,0.0000
1000000,0.000113419422,18464.8691,14,2.12097465s,1.951456443s,1000000,1000000,0,1000,0.0000
1000000,0.000108018497,18564.0391,14,2.202619904s,1.872614959s,1000000,1000000,0,1000,0.0000
1000000,0.000102874759,18663.2100,14,2.126197104s,1.83935294s,1000000,1000000,0,1000,0.0000
1000000,0.000097975961,18762.3799,14,2.207478493s,1.879156124s,1000000,1000000,0,1000,0.0000
1000000,0.000093310439,18861.5498,14,2.236802027s,1.919730855s,1000000,1000000,1,1000,0.0010
1000000,0.000088867085,18960.7207,14,2.326767234s,1.704902163s,1000000,1000000,0,1000,0.0000
1000000,0.000084635319,19059.8906,14,1.643045173s,1.45793178s,1000000,1000000,0,1000,0.0000
1000000,0.000080605066,19159.0605,14,1.638969198s,1.535026798s,1000000,1000000,0,1000,0.0000
1000000,0.000076766729,19258.2314,14,1.609331615s,1.395535271s,1000000,1000000,0,1000,0.0000
1000000,0.000073111171,19357.4014,14,1.650199461s,1.400792732s,1000000,1000000,0,1000,0.0000
1000000,0.000069629686,19456.5713,14,1.568836818s,1.513696255s,1000000,1000000,0,1000,0.0000
1000000,0.000066313987,19555.7422,14,1.791529447s,1.496860199s,1000000,1000000,0,1000,0.0000
1000000,0.000063156178,19654.9121,14,1.664910743s,1.40323745s,1000000,1000000,0,1000,0.0000
1000000,0.000060148741,19754.0820,15,1.945001052s,1.439019602s,1000000,1000000,0,1000,0.0000
1000000,0.000057284515,19853.2529,15,1.667479472s,1.435303187s,1000000,1000000,0,1000,0.0000
1000000,0.000054556681,19952.4229,15,1.78768937s,1.504241131s,1000000,1000000,0,1000,0.0000
1000000,0.000051958744,20051.5938,15,1.752103096s,1.541852885s,1000000,1000000,0,1000,0.0000
1000000,0.000049484518,20150.7637,15,1.688965376s,1.395111608s,1000000,1000000,0,1000,0.0000
1000000,0.000047128112,20249.9336,15,1.909796953s,1.394387822s,1000000,1000000,0,1000,0.0000
1000000,0.000044883917,20349.1045,15,1.809940545s,1.597733218s,1000000,1000000,0,1000,0.0000
1000000,0.000042746587,20448.2744,15,1.628838517s,1.380035796s,1000000,1000000,0,1000,0.0000
1000000,0.000040711035,20547.4443,15,1.60590464s,1.531682086s,1000000,1000000,0,1000,0.0000
1000000,0.000038772415,20646.6152,15,1.830666114s,1.674857298s,1000000,1000000,0,1000,0.0000
1000000,0.000036926109,20745.7852,15,1.988359606s,1.692583872s,1000000,1000000,0,1000,0.0000
1000000,0.000035167723,20844.9551,15,1.843895325s,2.497386899s,1000000,1000000,0,1000,0.0000
1000000,0.000033493070,20944.1260,15,2.321777142s,1.874208297s,1000000,1000000,0,1000,0.0000
1000000,0.000031898162,21043.2959,15,1.850580442s,1.378784034s,1000000,1000000,0,1000,0.0000
1000000,0.000030379201,21142.4658,16,1.710725942s,1.389509156s,1000000,1000000,0,1000,0.0000
1000000,0.000028932573,21241.6367,16,1.634573632s,1.415332792s,1000000,1000000,0,1000,0.0000
1000000,0.000027554831,21340.8066,16,1.970686404s,1.631945112s,1000000,1000000,0,1000,0.0000
1000000,0.000026242696,21439.9766,16,1.81219646s,1.66189806s,1000000,1000000,0,1000,0.0000
1000000,0.000024993044,21539.1475,16,1.691862429s,1.603828519s,1000000,1000000,0,1000,0.0000
1000000,0.000023802899,21638.3174,16,1.771794482s,1.541054246s,1000000,1000000,0,1000,0.0000
1000000,0.000022669428,21737.4873,16,1.882538999s,1.540367571s,1000000,1000000,0,1000,0.0000
1000000,0.000021589931,21836.6582,16,1.921951205s,1.642658541s,1000000,1000000,0,1000,0.0000
1000000,0.000020561839,21935.8281,16,1.799647543s,1.572867893s,1000000,1000000,0,1000,0.0000
1000000,0.000019582704,22034.9980,16,2.039297826s,1.476240972s,1000000,1000000,0,1000,0.0000
1000000,0.000018650194,22134.1689,16,1.737113669s,1.554729152s,1000000,1000000,0,1000,0.0000
1000000,0.000017762090,22233.3389,16,1.741474631s,1.549990261s,1000000,1000000,0,1000,0.0000
1000000,0.000016916276,22332.5088,16,1.866373538s,1.530270465s,1000000,1000000,0,1000,0.0000
1000000,0.000016110739,22431.6797,16,2.117935615s,1.585405625s,1000000,1000000,0,1000,0.0000
1000000,0.000015343561,22530.8496,16,1.810538169s,1.451150658s,1000000,1000000,0,1000,0.0000
1000000,0.000014612915,22630.0195,17,1.635369778s,1.50411775s,1000000,1000000,0,1000,0.0000
1000000,0.000013917062,22729.1904,17,2.018258927s,1.623297872s,1000000,1000000,0,1000,0.0000
1000000,0.000013254345,22828.3604,17,2.110512233s,1.539547354s,1000000,1000000,0,1000,0.0000
1000000,0.000012623186,22927.5303,17,1.653693393s,1.434865654s,1000000,1000000,0,1000,0.0000
1000000,0.000012022082,23026.7012,17,1.776652211s,1.503653943s,1000000,1000000,0,1000,0.0000
1000000,0.000011449602,23125.8711,17,1.784151982s,1.509772181s,1000000,1000000,0,1000,0.0000
1000000,0.000010904382,23225.0410,17,2.204948885s,1.481530776s,1000000,1000000,0,1000,0.0000
1000000,0.000010385126,23324.2119,17,1.768063664s,1.444696292s,1000000,1000000,0,1000,0.0000
